name,phone,email,mc,dot,street,state,city,dot_apply_date,mc_appy_date,mc_grant_date,power_unit,driver_total,mcs_file_date
DP COMPANIES LLC,(520) 841-2049,DIEGO@DPCOMPANIES.NET,1330805,3749948,879 MANZANILLA WAY,AZ,RIO RICO,22-OCT-21,10/27/2021,20211115,2,2,22-OCT-21
PAYSON TRANSPORTATION LLC,(602) 751-0756,PAYSONTRANSPORT@CENTURYLINK.NET,1332345,3752041,1215 N EARHART PKWY,AZ,PAYSON,26-OCT-21,10/29/2021,20211115,1,1,24-JAN-22
DLR XPRESS LLC,(928) 550-0210,ALONSO303@LIVE.COM,1332511,3752287,3049 W 27TH LN,AZ,YUMA,26-OCT-21,10/29/2021,20211115,1,1,27-OCT-21
MEGALINE TRANSPORT LLC,(602) 702-8877,IMANGO333@YAHOO.COM,1332635,3752472,1657 W HAZELWOOD ST,AZ,PHOENIX,26-OCT-21,10/29/2021,20211115,1,1,26-JAN-22
ROD CLASSIC LLC,(619) 730-9096,ROD.CLASSIC90@GMAIL.COM,1138394,3474706,4806 N 96TH AVE,AZ,PHOENIX,22-AUG-20,08/26/2020,20210122,8,10,20-DEC-21
SANTINOS TRANSPORT LLC,(760) 460-6736,YOLANDARR2011@HOTMAIL.COM,1166081,3517115,1616 S 10TH AVE,AZ,YUMA,05-NOV-20,11/10/2020,20210122,1,1,05-NOV-20
GREYINK LOGISTICS LLC,(810) 893-2113,GREYINKLANDSCAPING@GMAIL.COM,1174506,3529505,156 N 56TH PL,AZ,MESA,02-DEC-20,12/07/2020,20210122,2,2,08-DEC-20
RRA LOGISTICS LLC,,RRALOGISTICSLLC@GMAIL.COM,1175144,3530453,1610 N 36TH STREET STE 104,AZ,PHOENIX,03-DEC-20,12/08/2020,20210122,1,1,10-OCT-21
I MARINES TRUCKING LLC,(520) 370-9272,MARINESJUAREZ@GMAIL.COM,1176435,3532440,6010 E WENDREW LN,AZ,TUCSON,07-DEC-20,12/10/2020,20210122,1,1,07-DEC-20
ALPHA PRO LLC,(480) 408-0418,ALPHAPROLLC@YAHOO.COM,1180064,3537766,12521 W SUNNYSIDE DR,AZ,EL MIRAGE,17-DEC-20,12/22/2020,20210122,2,2,17-DEC-20
PKG TRUCKING LLC,(623) 217-7234,BHATTHALJ@YAHOO.COM,1180354,1695146,16913 W WOODLANDS AVE,AZ,GOODYEAR,05-OCT-07,12/23/2020,20210122,1,1,16-FEB-21
GR8FR8 LOGISTICS LLC,(480) 347-0428,NICK.MACALUSO@GR8FR8LOGISTICS.COM,48866,3331540,2218 E WILLIAMS FIELD RD SUITE 240,AZ,GILBERT,06-SEP-19,05/07/2021,20210525,1,1,28-JUN-21
MORENO'S TRANSPORTATION LLC,(928) 323-5777,ANGELOBOYS1130@GMAIL.COM,1179435,3536871,1848 E D ST,AZ,SAN LUIS,16-DEC-20,12/21/2020,20210525,1,1,05-JUL-21
M & P TRANSPORT SERVICES LLC,(928) 920-2494,M30PENA@GMAIL.COM,1198016,3563919,153 N FRANK SANDOVAL CT,AZ,SAN LUIS,04-FEB-21,02/09/2021,20210525,1,1,10-FEB-21
MWO TRUCKING LLC,(720) 427-3495,OMARJACK33@YAHOO.COM,1215220,3589385,3135 S JOSHUA TREE LN,AZ,GILBERT,15-MAR-21,03/18/2021,20210525,1,1,15-MAR-21
PATINO BROTHERS TRANSPORT LLC,(480) 938-9255,PBTRANSPORTAZ@GMAIL.COM,1219246,3595279,8339 W COOLIDGE ST,AZ,PHOENIX,23-MAR-21,03/26/2021,20210525,1,1,03-NOV-21
SAF TRUCKING LLC,(623) 759-4837,KOKO17467@GMAIL.COM,1223433,3601410,3924 W WILSHIRE DR,AZ,PHOENIX,30-MAR-21,04/02/2021,20210525,1,1,30-MAR-21
SYL TRANS LLC,(602) 531-7461,SYLTRANLLC@GMAIL.COM,1224608,3603143,3330 E VAN BUREN ST APT 417,AZ,PHOENIX,01-APR-21,04/06/2021,20210525,1,1,01-APR-21
IBARRA'S TRANSPORT LLC,(602) 641-0583,JOELIBARRAR33@GMAIL.COM,1228744,3609175,23666 W MOHAVE ST,AZ,BUCKEYE,09-APR-21,04/14/2021,20210525,1,1,16-JUL-21
ALWIN MACHINERY LLC,(602) 881-8441,ADMIN@ALWINMACHINERYLLC.COM,1234719,3617900,23316 S GREENFIELD RD,AZ,GILBERT,22-APR-21,04/27/2021,20210525,1,1,16-NOV-21
GUEVARA EXPRESS LLC,(602) 600-7396,YORDANIABRYAN1986@GMAIL.COM,1235365,3618832,6226 W MARYLAND AVE,AZ,GLENDALE,22-APR-21,04/27/2021,20210525,1,1,22-APR-21
AZ SUNSET LOGISTICS LLC,(602) 705-5699,AZ.SUNSETLOGISTICS@YAHOO.COM,1185870,3546126,7331 W FLEETWOOD LN,AZ,GLENDALE,08-JAN-21,01/13/2021,20210503,2,2,12-JUL-21
SANHER TRUCKING LLC,(480) 765-8598,SANCHEZALEJANDRO1975@ICLOUD.COM,1194770,3549827,3842 E ARAGONITE LN,AZ,SAN TAN VLY,13-JAN-21,02/02/2021,20210503,1,1,10-MAY-21
VESAUTO LLC,(602) 388-0173,VESAUTOLLC@GMAIL.COM,1215521,3589823,18251 N 37TH DR,AZ,GLENDALE,16-MAR-21,03/19/2021,20210503,1,1,09-JUL-21
ANDY & SONS TRUCKING INC,(602) 688-0173,ANDYTRUCKING16@GMAIL.COM,1222430,3386352,1210 N 105TH PL,AZ,MESA,23-JAN-20,04/01/2021,20210503,1,1,12-MAY-21
FRONTLINE TRUCKING LLC,(480) 881-7922,MYKEYDAH333@GMAIL.COM,1225604,3604625,5648 W PUEBLO AVE,AZ,PHOENIX,05-APR-21,04/08/2021,20210503,1,1,21-APR-21
SURE SHOT TRANSPORT LLC,(602) 908-4681,INFO@SURESHOTTRANSPORTLLC.COM,1226766,3606355,5210 W WIKIEUP LN,AZ,GLENDALE,06-APR-21,04/09/2021,20210503,1,1,06-APR-21
TXAZ TRANSPORT LLC,,AZTX_FLOORS@HOTMAIL.COM,1227761,3607787,4200 N FALCON DR UNIT 81,AZ,GOODYEAR,08-APR-21,04/13/2021,20210503,1,1,23-JUL-21
TRUE SOLE TRUCKING LLC,(623) 248-1106,TRUESOLEINC@GMAIL.COM,1229629,3610490,4480 W PEORIA AVE STE 207,AZ,GLENDALE,12-APR-21,04/15/2021,20210503,1,1,29-JUN-21
TRIPLE J TRUCKING LLC,(480) 299-8671,JBARRAJAS56@GMAIL.COM,1107881,2822491,6751 W INDIAN SCHOOL RD 2002,AZ,PHOENIX,02-NOV-15,05/07/2020,20210415,1,2,15-MAR-21
SIR MOVES A LOT LLC,(928) 282-2150,ADMIN@SIRMOVESALOT.COM,1142497,3361439,1952 S MANZANITA TRL,AZ,COTTONWOOD,22-NOV-19,09/09/2020,20210415,1,2,22-NOV-19
MARIA DEL CARMEN GARCIA,(760) 808-4940,DAYANITA283@GMAIL.COM,1142497,3481084,50179 EHRENBERG PARKER HWY APT 1,AZ,EHRENBERBERG,02-SEP-20,09/09/2020,20210415,1,1,29-JAN-21
JUANITOS HAULING,(480) 548-9187,LANDMARKAUTOLLC@GMAIL.COM,1150241,3492970,532 N VISTA RD,AZ,APACHE JCT,24-SEP-20,09/29/2020,20210415,1,4,09-APR-21
SUN WEST TRANSPORT LLC,(602) 488-4693,JORGEOLIVA53@YAHOO.COM,1165665,3516459,3713 W CARON ST,AZ,PHOENIX,04-NOV-20,11/09/2020,20210415,1,2,28-SEP-21
MIGUEL ANGEL PINEDA HERNANDEZ,(928) 210-7138,PINEDATRANSPORT1@GMAIL.COM,1171960,3525816,7270 S LAGUNA DAM RD LOT 4,AZ,YUMA,23-NOV-20,11/27/2020,20210415,1,1,01-JUN-21
EXPEDITIOUS TRANSPORT LLC,(480) 364-7057,SOPHIALINDSEY77@GMAIL.COM,1203401,3571806,4828 W ORANGEWOOD AVE APT 133,AZ,GLENDALE,18-FEB-21,02/23/2021,20210415,1,1,19-MAR-21
STARGMZ LOGISTICS LLC,(747) 282-7272,MG1980F@GMAIL.COM,1207046,3577223,4612 W CAVALIER DR,AZ,GLENDALE,26-FEB-21,03/03/2021,20210415,1,1,26-FEB-21
ODYSSEY TRANSPORT LLC,(480) 815-0220,H_DEGUZMAN45@YAHOO.COM,1216211,3590830,1470 S YUCCA PL,AZ,CHANDLER,17-MAR-21,03/22/2021,20210415,1,1,06-APR-21
RAPID X LLC,(602) 883-5054,RAPIDXLLC@GMAIL.COM,1217947,3593399,10735 W COOLIDGE ST,AZ,PHOENIX,19-MAR-21,03/24/2021,20210415,1,1,08-OCT-21
TANJON TRANSPORT LLC,(602) 695-9813,TANJONTRANSPORT@GMAIL.COM,1097571,3406893,118 S 91ST ST,AZ,MESA,10-MAR-20,03/13/2020,20210426,1,1,03-MAR-21
AR CARRIERS,(623) 303-3936,RAY@ARCARRIERS.COM,1191954,3555093,7600 N 15TH ST STE 150,AZ,PHOENIX,21-JAN-21,01/26/2021,20210426,1,1,21-JAN-21
AZ TROOPER TRANSPORTATION LLC,(928) 710-0660,AZTROOPERTRANSPORTATION@GMAIL.COM,1196995,3562461,4730 CODY DR,AZ,PRESCOTT,02-FEB-21,02/05/2021,20210426,1,1,28-DEC-21
LEVI TRUCKING LLC,(602) 403-0300,ACTS238GERMAN@GMAIL.COM,1205094,3574333,7120 W ALMERIA RD,AZ,PHOENIX,22-FEB-21,02/25/2021,20210426,2,2,21-JAN-22
SEACA PLASTIC PACKAGING LLC,(623) 900-7335,RANDYC@SEACAPKG.COM,1210498,3582359,13549 W WILLOW AVE,AZ,SURPRISE,05-MAR-21,03/10/2021,20210426,2,2,05-MAR-21
SULTAN CARRIER LLC,(602) 670-6256,SULTANCARRIERLLC@GMAIL.COM,1216824,3591724,5345 E VAN BUREN ST UNIT 337,AZ,PHOENIX,18-MAR-21,03/23/2021,20210426,2,4,08-SEP-21
LETS GET IT TRANSPORTS LLC,(623) 262-6738,ALSPARKS59@GMAIL.COM,1220661,3597364,7248 S 46TH LN,AZ,LAVEEN,25-MAR-21,03/30/2021,20210426,1,2,15-APR-21
R&P EXECS LLC,(480) 702-8480,PATRICKTATE1987@GMAIL.COM,1225804,3604906,3602 W TONTO ST,AZ,PHOENIX,05-APR-21,04/08/2021,20210426,1,1,10-APR-21
VOYRUN LOGISTICS LLC,(941) 281-8008,FAY21174091@YAHOO.COM,1273643,3671927,6713 N 73RD DR,AZ,GLENDALE,04-JUL-21,07/08/2021,20211005,1,2,07-DEC-21
BAM EXPRESS LLC,(602) 919-7114,AZBAMEXPRESSLLC@GMAIL.COM,1299971,3707680,10785 W DEL RIO LN,AZ,AVONDALE,23-AUG-21,08/26/2021,20211005,1,1,24-JAN-22
IDY LLC,(623) 999-8320,IDYLLC92@GMAIL.COM,1301988,3710427,4806 N 96TH AVE,AZ,PHOENIX,26-AUG-21,08/31/2021,20211005,1,1,26-AUG-21
M & F TRANSPORTATION LLC,(623) 383-0837,MARTINEZFRANCISCO697@YAHOO.COM,1305107,3714702,3822 S 54TH GLN,AZ,PHOENIX,02-SEP-21,09/08/2021,20211005,1,1,29-OCT-21
STATE LINE TRANSPORTS LLC,(928) 750-5142,STATELINETRANSPORTS@YAHOO.COM,1161365,3484386,440 S GILA ST,AZ,YUMA,09-SEP-20,10/28/2020,20210520,1,1,04-MAY-21
STATE LINE TRANSPORTS LLC,(928) 750-5142,STATELINETRANSPORTS@YAHOO.COM,1161365,3484386,440 S GILA ST,AZ,YUMA,09-SEP-20,10/28/2020,20210520,1,1,04-MAY-21
ALPERO TRUCKING LLC,(480) 280-5253,BASSAMESSA15@YAHOO.COM,1201961,3569601,2122 W BUTLER DR APT 230,AZ,PHOENIX,13-FEB-21,02/18/2021,20210520,1,1,19-JUL-21
MENA EXPRESS LLC,(480) 338-3581,USDRIVER14@GMAIL.COM,1215100,3589220,5316 W CYPRESS ST,AZ,PHOENIX,15-MAR-21,03/18/2021,20210520,1,1,24-MAY-21
DOUBLE D TRUCKING LLC,(623) 313-5296,DWIGHT.DUNKLEY99@GMAIL.COM,1235103,3618445,2635 W CORRINE DR,AZ,PHOENIX,22-APR-21,04/27/2021,20210520,1,1,23-APR-21
STRATUS TRUCKING LLC,(613) 459-7419,LOKOO30@ICLOUD.COM,1238152,3622799,11309 W TURNEY AVE,AZ,PHOENIX,28-APR-21,05/03/2021,20210520,1,1,03-NOV-21
HERE 2 THERE INC,(800) 519-6807,INF0@DOLLEDLIFE.COM,1238910,3623930,653 E FLINTLOCK PL,AZ,CHANDLER,29-APR-21,05/04/2021,20210520,3,2,29-APR-21
REVITALIZE PARTNERS LLC,(847) 226-2960,NATE@REVITALIZE.PARTNERS,47996,3610602,6333 N SCOTTSDALE RD UNIT 26,AZ,SCOTTSDALE,12-APR-21,04/15/2021,20210520,9,7,12-APR-21
FISHER FAMILY TRUCKING LLC,(907) 317-5661,FISHERSFAMILYTRUCKING@GMAIL.COM,1235996,3619749,3116 W ZACHARY DR,AZ,PHOENIX,23-APR-21,04/28/2021,20210622,1,1,18-MAY-21
NEW HORIZONS LOGISTICS XPRESS LLC,(520) 762-4468,NHLXPRESS@YAHOO.COM,1250378,3639977,13190 E COLOSSAL CAVE RD 100 # 414,AZ,VAIL,20-MAY-21,05/25/2021,20210622,1,1,07-JUN-21
A & V VEHICLE TRANSPORTING LLC,(602) 502-5460,A.VVEHICLETRANSPORTING@GMAIL.COM,1253359,3643987,1807 N 64TH LN,AZ,PHOENIX,26-MAY-21,06/01/2021,20210622,1,1,14-SEP-21
M&K TRUCKING LLC,(602) 600-8990,M.K.TRUCKINGLLC1@GMAIL.COM,1161655,3510261,13522 W BANFF LN,AZ,SURPRISE,23-OCT-20,10/28/2020,20210504,2,2,22-NOV-21
GREWAL TRUCKING LLC,(623) 552-0281,GREWAL.TRUCKING@YAHOO.COM,1186901,3547598,12946 N 147TH DR,AZ,SURPRISE,11-JAN-21,01/14/2021,20210504,1,1,13-MAY-21
SKYLINE KING LLC,(619) 718-0400,CP@SKYLINEKINGLLC.COM,1192376,3554320,4700 E CHARLES DR,AZ,PARADISE VLY,20-JAN-21,01/27/2021,20210504,2,2,09-NOV-21
ART LOGISTICS LLC,(520) 304-8875,ERICRANDALL91@YAHOO.COM,1201705,3569231,110 E PLACITA ROCA DE ORO,AZ,ORO VALLEY,12-FEB-21,02/18/2021,20210504,1,1,12-JAN-22
MARTINEZ PREMIER TRUCKING LLC,(480) 352-0786,PREMIERTRKNG@GMAIL.COM,1217484,3592713,735 W 2ND PL,AZ,MESA,18-MAR-21,03/23/2021,20210504,1,1,18-MAR-21
THOMPSON DIVERSIFIED LLC,(480) 899-4621,RICHARD@VALLEYEXPRESSTOWING.COM,1222295,1843500,661 W BROADWAY RD,AZ,MESA,08-JAN-09,04/02/2021,20210504,12,10,01-MAR-21
LEFT LANE TRUCKING LLC,(602) 317-3387,HAYESKEVIN6898@GMAIL.COM,1222683,3561380,985 N OLD CHISHOLM TRL APT 1,AZ,DEWEY,01-FEB-21,04/01/2021,20210504,1,1,04-MAR-21
KEVIN LEE,(818) 321-0469,KLEE276002@AOL.COM,1225614,3604639,25747 W HAZEL DR,AZ,BUCKEYE,05-APR-21,04/08/2021,20210504,1,1,28-APR-21
DAFFY'S WACKY CLEANING SERVICE,(928) 754-4869,ALLABOUTOWINGAZ@LIVE.COM,1135226,3469594,1166 HIGHWAY 95 STE B,AZ,BULLHEAD CITY,13-AUG-20,08/18/2020,20210420,2,1,06-APR-21
JR TRANSPORT LLC,(602) 793-8306,JRT2472@YAHOO.COM,1161347,3509790,10128 W LEVI DR,AZ,TOLLESON,23-OCT-20,10/28/2020,20210420,1,1,20-SEP-21
A J BLESSING LLC,(602) 546-8302,AMINGEL@YAHOO.COM,1218476,3594168,16563 W FILLMORE ST,AZ,GOODYEAR,22-MAR-21,03/25/2021,20210420,1,1,22-MAR-21
PEREYRA TRUCKING LLC,(602) 380-9678,PEREYRAJOSIE29@GMAIL.COM,1220675,3597378,1526 E DESERT DR,AZ,PHOENIX,25-MAR-21,03/30/2021,20210420,1,1,05-OCT-21
CRYSTAL CAMACHO,(928) 285-3590,BCAMSTRANSPORT@OUTLOOK.COM,1185132,3545103,2030 W CACTUS RD APT D,AZ,PHOENIX,06-JAN-21,01/11/2021,20211018,1,1,12-OCT-21
SDB TRUCKING LLC,(951) 333-3932,DAMETRIUSGARDNER@GMAIL.COM,1308607,3719470,4136 S 180TH DR,AZ,GOODYEAR,09-SEP-21,09/14/2021,20211018,1,1,21-DEC-21
ROLLING A TRANSPORT LLC,(928) 261-1286,GUSLPZ2022@GMAIL.COM,1312765,3725147,6326 E 45TH PL,AZ,YUMA,17-SEP-21,09/22/2021,20211018,1,1,17-SEP-21
LUDICROUS SPEED LOGISTICS LLC,(407) 697-2723,LSLAZ.LLC@GMAIL.COM,1316133,3729771,3405 S MCQUEEN RD,AZ,CHANDLER,23-SEP-21,09/28/2021,20211018,20,40,30-SEP-21
WJSH LLC,(480) 930-8797,WJSH.LLC@GMAIL.COM,1316183,3729841,8902 N 19TH AVE APT 3032,AZ,PHOENIX,24-SEP-21,09/29/2021,20211018,2,2,23-JAN-22
RDC TRUCKING LLC,(602) 769-4202,DEVCARR1@GMAIL.COM,1317105,3731089,11563 W MOHAVE ST,AZ,AVONDALE,27-SEP-21,09/30/2021,20211018,2,1,27-SEP-21
TRUSTED DELIVERY SERVICES LLC,(800) 817-1620,DONNELLBRANSONJR@GMAIL.COM,1317434,3731560,2 N CENTRAL AVE STE 1800,AZ,PHOENIX,27-SEP-21,09/30/2021,20211018,1,1,22-OCT-21
BEARD TRUCKING LLC,(253) 254-4086,ELY.ERICKSON@GMAIL.COM,1317575,3731751,40480 N SCOTT WAY,AZ,SAN TAN VALLEY,27-SEP-21,09/30/2021,20211018,1,2,17-NOV-21
RYMAA TRUCKING LLC,(520) 232-4515,RYMAA.TRUCKING@GMAIL.COM,1318381,3598849,747 W TIPTON DR,AZ,TUCSON,26-MAR-21,10/01/2021,20211018,1,1,15-OCT-21
JET LIVERY LOGISTICS LLC,(480) 560-8560,JETLIVERY@JETLIVERY.COM,1259468,3652443,6335 W TETHER TRL,AZ,PHOENIX,08-JUN-21,06/11/2021,20210922,1,1,10-JAN-22
THAT TRUCKING COMPANY LLC,(208) 789-6820,JSCIRBY@OUTLOOK.COM,1286423,3689296,822 SOUTH HASSAYMPA RD,AZ,GOLDEN VALLEY,28-JUL-21,08/02/2021,20210922,1,1,14-SEP-21
CYCLONE TECHNOLOGY LLC,(602) 538-6896,BRYAN.BILLENA@SKIDABRADER.COM,1296825,3703500,1845 W 1ST ST STE 101,AZ,TEMPE,17-AUG-21,08/20/2021,20210922,3,3,17-AUG-21
ARITEXX LLC,(602) 370-3804,ARITEXXLLC@HOTMAIL.COM,1302765,3711495,4138 E MCKINLEY ST,AZ,PHOENIX,28-AUG-21,09/01/2021,20210922,1,1,28-AUG-21
CURBSIDE KINGS LOGISTICS TRANSPORT LLC,(520) 346-2598,CURBSIDEKINGSLOGISTICS@GMAIL.COM,1303848,3712983,1256 OCOTILLO DR UNIT D,AZ,SIERRA VISTA,31-AUG-21,09/03/2021,20210922,1,2,12-NOV-21
DELATRINIDAD LOGISTIC LLC,(760) 234-1617,DELATRINIDAD81@HOTMAIL.COM,1297021,3703778,3603 S BURRIS RD,AZ,CASA GRANDE,18-AUG-21,08/23/2021,20211126,1,1,03-NOV-21
LONG HAUL TRANSPO L L C,(562) 527-7511,MILLER@LONGHAULTRANSPO.COM,1303870,3713012,15143 N 172ND ST,AZ,SURPRISE,31-AUG-21,09/03/2021,20211126,1,1,19-DEC-21
ANGELS FREIGHT LLC,(623) 698-8845,ANGELRAMBAR7@GMAIL.COM,1310240,3721699,7334 W HOLLY ST,AZ,PHOENIX,13-SEP-21,09/16/2021,20211126,1,1,13-SEP-21
UNTAMED LOGISTICS LLC,(602) 647-3131,TEZWILLIAMS@UNTAMEDLOGISTICS.COM,1325830,3743150,2221 E LYNNE LN,AZ,PHOENIX,13-OCT-21,10/18/2021,20211126,1,1,26-JAN-22
AMERICAN EAGLE TRANSPORT LLC,(480) 742-3016,DISPATCH@AMERICANEAGLETRANSPORT.NET,1331051,3750282,3106 W BROADWAY RD,AZ,PHOENIX,23-OCT-21,10/27/2021,20211126,1,1,29-NOV-21
D F S FREIGHT LLC,(801) 835-2705,DFSFREIGHT2021@GMAIL.COM,1333224,3753258,801 E MCKELLIPS RD APT 28B,AZ,TEMPE,27-OCT-21,11/01/2021,20211126,1,2,13-NOV-21
DEVIL DAWG DISPATCH LLC,(602) 329-1037,BRYAN.KRUZEL@GMAIL.COM,1335021,3755713,19570 W PALO VERDE DR,AZ,LITCHFIELD PK,01-NOV-21,11/04/2021,20211126,1,4,01-NOV-21
SMOKIN CACTUS INDUSTRIES LLC,(602) 809-9519,NATE@SMOKINCACTUSIND.COM,1337019,3758456,4015 E HIDDENVIEW DR,AZ,PHOENIX,04-NOV-21,11/09/2021,20211126,1,1,05-NOV-21
1KINGG,(818) 383-9373,GWILBORN33@YAHOO.COM,1231733,3613615,17722 W LANGER LAN,AZ,SURPRISE,15-APR-21,04/20/2021,20211105,1,2,05-DEC-21
MOVING WORLDWIDE LLC,(602) 644-1429,MOVING.WORLDWIDELLC@GMAIL.COM,1290763,3695287,1733 W HADLEY ST,AZ,PHOENIX,05-AUG-21,08/10/2021,20211105,2,2,05-AUG-21
WILD RIVER LLC,(480) 646-2957,WILDRIVERTRUCKING@GMAIL.COM,1293938,3699629,11901 W MCDOWELL RD LOT 63,AZ,AVONDALE,12-AUG-21,08/17/2021,20211105,1,1,13-AUG-21
FORTII LOGISTICS LLC,(928) 615-2442,ISAIAH@BIRRIERIAELGORDO.COM,1327295,3745201,1875 S 33RD DR,AZ,YUMA,16-OCT-21,10/20/2021,20211105,1,1,16-OCT-21
M & C TRANSPORT LLC,(909) 235-3384,MARIOFELIX031384@GMAIL.COM,1235783,3619441,16333 S AVE 1 E,AZ,YUMA,23-APR-21,05/13/2021,20210628,1,1,11-JUN-21
BRONSON TOWING & LOCK LLC,(702) 423-6426,DB.SORBRO@HOTMAIL.COM,1242620,3629079,51 S MAIN HC 65-85,AZ,MOCASSIN,06-MAY-21,05/11/2021,20210628,1,1,26-SEP-21
ARIZONA AUTO TRANSPORTATION LLC,(602) 518-2046,DONNELLADAMSAZ@GMAIL.COM,1247456,3635848,1224 E EVERGREEN ST APT 230,AZ,MESA,15-MAY-21,05/19/2021,20210628,1,1,15-MAY-21
NEEMA TRUCKING LLC,(480) 738-8120,MUIGAI@MAIL.COM,1258875,3651594,2423 E SPRINGFIELD PL,AZ,CHANDLER,07-JUN-21,06/10/2021,20210628,1,1,17-JUN-21
ROYALE INTERNATIONAL COURIERS LTD,(480) 825-7323,DAVID.TOTH@ROYALEINTERNATIONAL.COM,49227,3638766,1000 S PARK LN STE 7,AZ,TEMPE,19-MAY-21,05/24/2021,20210628,0,0,19-MAY-21
EAGLE LOGISTICS LLC,(917) 216-7518,JLCHAV_623@HOTMAIL.COM,1121389,3447557,1367 WINKLER LN,AZ,BULLHEAD CITY,30-JUN-20,05/24/2021,20210628,1,1,14-MAY-21
BONANZA TRUCKING LLC,(602) 540-5069,JOSHUA@BONANZA-TRUCKING.COM,1259773,3647339,5245 S DESERT VIEW DR,AZ,APACHE JCT,01-JUN-21,06/11/2021,20210628,4,4,17-AUG-21
ND HARBOUR HOTSHOT LLC,(602) 881-9967,GETUSDOT@GMAIL.COM,1143734,3482921,5525 E THOMAS RD UNIT D7,AZ,PHOENIX,07-SEP-20,09/10/2020,20210412,1,1,20-JAN-21
VBT LOGISTICS LLC,(520) 313-9481,VBTLOGISTICS2020@GMAIL.COM,1195891,3560839,7063 E FOOTHILLS VIEW COURT,AZ,TUCSON,31-JAN-21,02/03/2021,20210412,3,3,09-NOV-21
UZUETA RUIZ & SON TRANSPORT LLC,(602) 486-1803,NAROUZUETA@YAHOO.COM,1212148,3584777,3801 W CATALINA DR,AZ,PHOENIX,09-MAR-21,03/12/2021,20210412,1,1,15-APR-21
AGTE LOGISTICS LLC,(602) 703-0421,GERMAN.AGUAYO155@GMAIL.COM,1217527,3592780,4545 N 67TH AVE UNIT 1197,AZ,PHOENIX,19-MAR-21,03/24/2021,20210412,1,4,19-MAR-21
WSB TRANSPORTATION LLC,(623) 255-0652,KWHEELER@WSB-TRANSPORTATION.COM,1218708,3594509,800 N CENTRAL AVE APT 1925,AZ,PHOENIX,22-MAR-21,03/25/2021,20210412,1,1,21-APR-21
L3 TRANSPORT LLC,(623) 879-9100,CSD@POGLLC.COM,1111997,3431616,4104 W CHAMA DR,AZ,GLENDALE,22-MAY-20,02/03/2021,20210222,4,2,15-JAN-21
GUARDIAN MOVES & STORAGE LLC,(602) 622-5368,NOELMICHALSKI2010@GMAIL.COM,1195966,3556515,6992 S VIEW LN,AZ,GILBERT,24-JAN-21,02/04/2021,20210222,1,1,05-FEB-21
GOING TRUCKING LLC,(480) 416-0820,GOINGTRUCKINGDBA@GMAIL.COM,1248556,2833951,420 E MOORE AVE,AZ,GILBERT,22-DEC-15,05/21/2021,20211208,1,1,15-DEC-21
CVMJ LLC,(520) 201-6270,CARLTONMOSLEY@CVMJ9246.COM,1263603,3658113,2 E CONGRESS ST STE 900,AZ,TUCSON,15-JUN-21,06/18/2021,20211208,1,1,15-JUN-21
